Timestep,CMH,CO2,PM25_removed,PM25,Humidity_removed,Humidity
1,5.57E-05,400,0.006478779,60,4.6277E-08,0.005
2,4.42E-05,400.0000372,18989.86376,32.44692353,4.62771E-08,0.005346186
3,4.58E-05,400.0000743,1780.052991,29.86419075,4.62771E-08,0.005687968
4,4.46E-05,400.0001115,1301.765383,27.97542317,4.62771E-08,0.006028801
5,4.53E-05,400.0001487,1126.865046,26.34042477,4.62771E-08,0.006372054
6,4.31E-05,400.0001858,1049.288039,24.81798607,4.62771E-08,0.006721387
7,4.35E-05,400.000223,1028.044838,23.32636984,4.62771E-08,0.007081253
8,4.28E-05,400.0002602,1070.778409,21.77275003,4.62771E-08,0.007457766
9,121.63966,603.7377125,2005.285995,23.80498131,4.62771E-08,0.008895958
10,522.1490037,812.6723415,17349.22186,26.66376498,4.62772E-08,0.010361514
11,1104.057735,957.3511146,17954.03238,34.25389294,4.62775E-08,0.010835271
12,1815.955047,968.8639389,19634.87201,34.74814975,4.62793E-08,0.010177209
13,1677.897327,967.8742228,22046.33615,34.40912676,4.62796E-08,0.009523957
14,963.3880146,969.6156487,20639.93022,32.41821339,4.62797E-08,0.009356901
15,1692.635051,999.9999729,15146.97459,34.99999381,4.62808E-08,0.00860695
16,1727.537017,999.999976,15547.8453,34.99999499,4.62895E-08,0.007908422
17,1686.903653,992.3415318,21929.7632,34.99999099,4.63206E-08,0.007451485
18,1582.67702,987.2399035,28488.20069,34.999989,4.64424E-08,0.006699768
19,1272.013168,985.734266,47069.77701,34.99233193,4.68074E-08,0.006605432
20,21.64034976,968.0639106,783.7451668,34.98554074,4.78655E-08,0.0066703
21,29.30799574,945.8979892,1028.724336,34.98128646,4.79921E-08,0.006708268
22,35.65393086,921.0965452,1203.855808,34.99346044,4.81893E-08,0.006725048
23,33.22509102,899.5644058,1130.409186,34.99238162,4.84593E-08,0.006755367
24,33.90543996,877.730691,1080.007704,34.99960649,4.87372E-08,0.006782564
25,26.10600953,859.0082528,1429.232674,34.02436613,4.89452E-08,0.006826251
26,19.25957376,845.7402475,1307.936465,32.99292776,4.8951E-08,0.006897162
27,22.03045221,831.2276266,1414.55164,31.89946323,4.89536E-08,0.007012355
28,15.77375787,821.2355715,1210.323546,30.8757518,4.89536E-08,0.007159087
29,9.628189032,815.2804557,1159.738857,29.66804684,4.89536E-08,0.007297462
30,5.663946258,811.866058,1659.446582,27.54795251,4.89536E-08,0.007425343
31,0.000249614,811.8659299,3929.446685,21.84660295,4.89536E-08,0.007540342
32,0.000108066,811.8658891,4408.276584,15.45049515,4.89536E-08,0.007659455
33,269.6808336,886.7242897,21541.33801,20.5853457,4.89536E-08,0.009342533
34,739.0801188,950.7000178,77383.57598,28.41084073,9.43004E-08,0.010897248
35,1301.23596,982.0531859,139845.2893,33.18540776,7.16821E-08,0.011684242
36,1831.39055,991.6309978,186907.0056,33.03283115,5.92689E-08,0.011850443
37,1673.687164,994.2774232,142101.9748,30.83866555,4.66587E-08,0.011313047
38,964.0646087,995.4298223,42146.67808,31.23358108,4.63529E-08,0.010841737
39,1722.287332,999.9999826,71462.51814,34.99999493,4.62903E-08,0.010388952
40,1727.537008,999.9999801,60463.80819,34.99999499,4.632E-08,0.009894773
41,1686.341679,992.7098763,64080.99973,34.9999907,4.64329E-08,0.009257684
42,1576.985507,991.3257859,89888.20207,34.99996864,4.69367E-08,0.00885151
43,1296.667249,971.0141256,68723.38177,34.99996193,4.88466E-08,0.008596405
44,84.26120032,911.5060635,5635.811069,34.76952401,6.44013E-08,0.008487073
45,0.000518486,911.5057219,1281.490092,32.91024245,9.98358E-08,0.008553601
46,7.115233531,906.2261449,766.5750253,32.58261655,9.98363E-08,0.00861017
47,19.59858097,894.4705481,2029.028035,31.91354874,9.98944E-08,0.008654173
48,0.000577967,894.4701695,1924.5438,29.12123962,0.002655273,0.008721791
49,0.000710682,894.4696934,1565.129318,26.85043293,0.003835576,0.008790137
50,0.000177942,894.4696031,1753.404636,24.30638993,0.006170817,0.008858158
51,0.000120756,894.4695543,1666.378414,21.88860959,0.007777507,0.008927103
52,7.75E-05,894.4695374,1637.606166,19.51257108,0.009121077,0.008997786
53,6.84E-05,894.4695273,1649.757922,17.11890013,0.01021999,0.009071155
54,6.31E-05,894.4695209,1732.798338,14.60474169,0.011418576,0.009148002
55,6.20E-05,894.4695152,1920.536938,11.81818638,0.012514477,0.009229769
56,6.48E-05,894.4695074,2392.245985,8.347211258,0.013874835,0.009318215
57,290.0885126,951.5617631,25881.26722,16.67325525,0.015509577,0.010709311
58,892.98775,952.1266878,89025.49748,27.43513104,9.82402E-08,0.011638798
59,1218.172346,997.4659432,117398.9399,33.84581527,4.62783E-08,0.011732328
60,1828.590002,997.9593701,190494.177,33.38034981,4.62805E-08,0.011379188
61,1676.7274,997.9590732,179021.415,31.51111277,4.62845E-08,0.010954573
62,965.3880708,997.9592984,97832.43597,29.63415953,4.62919E-08,0.010777125
63,1725.192879,999.9999859,155019.5704,34.99999496,4.63052E-08,0.011144388
64,1727.536979,999.9999869,167571.1,34.99999499,4.63625E-08,0.011166712
65,1676.727336,999.9997564,149241.2698,34.98182282,4.65483E-08,0.011711387
66,1575.114917,999.9930878,130737.5599,34.97745903,4.72184E-08,0.011865743
67,1279.56996,992.9687914,122919.9978,34.85954202,4.94712E-08,0.011451277
68,0.001296875,992.9677045,563.9727259,34.04146384,5.45055E-08,0.011460979
69,0.000173585,992.9675965,316.2970533,33.58257987,5.45055E-08,0.01147097
70,0.000219409,992.9674567,240.8541166,33.2331666,5.45055E-08,0.011481277
71,0.867927304,992.2323389,211.8565457,33.06809022,5.45055E-08,0.011489095
72,0.000434057,992.2320346,372.7344405,32.52735054,5.48989E-08,0.01150015
73,0.000432447,992.2317304,313.8759462,32.07200799,5.48989E-08,0.011511656
74,0.000387606,992.2314649,290.0883841,31.65117273,5.48989E-08,0.011523677
75,0.001041199,992.2306306,279.3323266,31.24602156,5.48989E-08,0.011536299
76,0.000624892,992.2301586,278.9828013,30.84132641,5.48988E-08,0.011549633
77,7.205334565,986.0833791,285.8313181,31.25252929,5.48988E-08,0.011568602
78,24.61654872,966.0190673,1761.526441,31.2683157,5.48988E-08,0.011597866
79,0.000287129,966.0189007,4586.263504,24.61398967,5.49055E-08,0.011613974
80,0.000170137,966.0188307,4719.142238,17.76685199,5.49055E-08,0.01163201
81,342.7084851,981.5371545,32409.96342,21.95864143,5.49055E-08,0.011857736
82,746.1237121,996.8006967,67346.14641,29.25375656,5.136E-08,0.011957451
83,1270.486062,996.6672689,95137.62117,34.99990738,4.6277E-08,0.011885193
84,1827.183036,998.3855519,166398.6117,34.8186223,4.6277E-08,0.011771011
85,1683.025328,993.1353581,127785.043,34.99983691,4.6277E-08,0.011423097
86,969.041351,990.1055844,80804.37859,34.4572836,4.6277E-08,0.011397912
87,1716.171447,999.9999861,166094.6013,34.99999487,4.6277E-08,0.011196179
88,1727.53698,999.9999868,172753.7108,34.99999505,4.6277E-08,0.010986493
89,1676.727088,999.9999678,187793.4539,34.99998402,4.6277E-08,0.010969922
90,1575.107264,999.9999525,170111.599,34.99998106,4.62771E-08,0.011457845
91,1270.247927,999.9998343,101619.8638,34.99995382,4.62772E-08,0.01154216
92,0.000367872,999.9995468,0.08018866,34.99988688,4.62774E-08,0.011558806
93,0.000237598,999.9993757,0.036357042,34.99987119,4.62774E-08,0.011576079
94,0.000185341,999.9992525,0.025421376,34.99986827,4.62774E-08,0.011594057
95,0.00025701,999.999069,0.019764942,34.99987607,4.62773E-08,0.011612838
96,0.000607161,999.9985827,0.01601604,34.99989608,4.62773E-08,0.011632543
97,0.000846628,999.9978894,0.013072541,34.999923,4.62773E-08,0.011653332
98,0.013250399,999.9863991,0.010476875,34.99997133,4.62773E-08,0.011675332
99,0.22910604,999.7870744,0.006759232,34.99863427,4.62773E-08,0.011697471
100,0.046334127,999.7468012,0.006691214,34.99906743,4.62773E-08,0.01172282
101,0.122843897,999.6399732,0.006597348,34.99777071,4.62772E-08,0.011750274
102,0.43260172,999.2643375,0.006559765,34.98353285,4.62772E-08,0.011779257
103,0.079735645,999.1950704,0.006551454,34.98334851,4.62772E-08,0.011816414
104,0.047019148,999.1542373,0.006542715,34.98499801,4.62771E-08,0.011865479
105,355.4465019,999.3483742,0.00653033,33.32588247,4.62771E-08,0.011704882
106,761.6504387,999.7821947,0.006521142,29.02547611,4.6277E-08,0.011463465
107,1270.204991,999.81973,0.006546247,25.18519805,4.6277E-08,0.011048088
108,1829.055438,999.9080162,0.006551758,24.89047407,4.6277E-08,0.010965513
109,1676.878651,999.7762799,0.006609937,24.84163686,4.6277E-08,0.010812721
110,965.4228986,999.7463039,0.006618755,25.1709389,4.6277E-08,0.010914048
111,1727.245637,999.9999761,0.00664174,26.47161281,4.6277E-08,0.010474375
112,1727.537026,999.999976,0.006852633,24.82819414,4.6277E-08,0.009974984
113,1678.930132,998.1450752,0.007522195,23.11895658,4.6277E-08,0.009545103
114,1575.108054,998.1444343,0.008531766,28.78441296,4.6277E-08,0.009131407
115,1270.661133,997.7857867,0.046921496,30.35529873,4.6277E-08,0.008972118
116,0.003994559,997.7823578,0.115209874,30.35519317,4.6277E-08,0.009100008
117,0.000854427,997.7816596,0.115222634,30.35505444,4.6277E-08,0.00923187
118,0.001128511,997.7807238,0.115217108,30.35491653,4.6277E-08,0.009368284
119,0.628164124,997.2422293,0.115213135,30.35896801,4.6277E-08,0.009506869
120,15.86196858,983.8598864,0.115955725,30.35328777,4.6277E-08,0.009572031
121,20.65653602,967.0172965,0.197783629,30.32001347,4.6277E-08,0.009626241
122,0.001002929,967.0165133,739.5527344,29.24699515,4.6277E-08,0.009780326
123,0.000542489,967.0161082,726.5245477,28.19287754,4.6277E-08,0.009943336
124,0.000324042,967.0158827,697.8492595,27.18036482,4.6277E-08,0.010117595
125,0.000392229,967.0156011,671.6982959,26.20579582,4.6277E-08,0.010306622
126,0.00035331,967.0153514,678.0286243,25.2220417,4.6277E-08,0.010516256
127,0.000412528,967.0150528,699.6355732,24.20693754,4.6277E-08,0.01075773
128,0.000368026,967.0147909,756.4698551,23.1093702,4.6277E-08,0.011060143
129,345.2079608,976.1221752,855.2106079,25.8755366,4.6277E-08,0.01124235
130,749.9372762,986.7530084,5808.450922,29.46882566,4.6277E-08,0.011249266
131,1259.475556,996.1323597,14495.17243,34.0214491,4.6277E-08,0.010991446
132,1830.890445,994.6780754,29323.72412,33.97869891,4.6277E-08,0.010621631
133,1678.248082,993.3753693,33797.18887,33.64177389,4.6277E-08,0.010363513
134,963.6400508,994.8973783,26287.84741,31.85249019,4.6277E-08,0.010554134
135,1721.675735,999.9999802,39150.93886,34.99999492,4.6277E-08,0.009974057
136,1727.537016,999.9999786,31095.67919,34.99999499,4.6277E-08,0.009633206
137,1677.501782,999.3335228,36905.09648,34.99993069,4.6277E-08,0.00917509
138,1575.441677,999.0473173,36235.23232,34.99984249,4.6277E-08,0.008520557
139,1270.248701,999.0465399,40713.65503,34.90453689,4.6277E-08,0.008144308
140,0.001609755,999.0451766,156.8476901,34.67704571,4.6277E-08,0.008337426
141,0.438581204,998.6680023,82.53377868,34.57385429,4.6277E-08,0.008534087
142,19.99760513,981.8154582,106.4895904,34.99966863,4.6277E-08,0.008620927
143,19.98994966,965.4647165,399.8109217,34.99967012,4.6277E-08,0.008701529
144,19.98911794,949.5944586,399.7954228,34.99966997,4.6277E-08,0.008804669
145,29.83781895,926.8723427,537.0166285,34.9997818,4.6277E-08,0.008872258
146,0.910414246,926.261856,1307.633499,33.13422127,4.6277E-08,0.00908197
147,0.001070744,926.2610732,1958.348159,30.29283965,4.6277E-08,0.009305833
148,0.000481813,926.2607387,1988.803374,27.40724864,4.6277E-08,0.009544182
149,0.000360728,926.2604964,1959.917108,24.56356551,4.6277E-08,0.009801866
150,0.000327177,926.2602798,2060.470093,21.57398519,4.6277E-08,0.010087041
151,0.000227227,926.2601393,2366.321982,18.14062966,4.6277E-08,0.010415807
152,0.000200356,926.2600194,2935.193104,13.88187726,4.6277E-08,0.010832483
153,330.4984788,948.1729082,9245.498249,20.12809121,4.6277E-08,0.010876299
154,729.7228165,976.4016675,27248.00868,28.23814646,4.6277E-08,0.010687988
155,1253.037009,991.4293533,54875.46773,34.06697173,4.6277E-08,0.01006396
156,1829.591688,991.1171716,104379.1035,33.93295672,4.6277E-08,0.00939073
157,1679.017619,989.1746288,106151.0711,33.39183307,4.6277E-08,0.009168182
158,966.5431168,988.209164,64979.94344,33.07039054,4.6277E-08,0.009581619
159,1713.993069,999.9999844,125505.5975,34.99999483,4.6277E-08,0.009027333
160,1727.536983,999.9999863,131292.8235,34.99999509,4.6277E-08,0.008626957
161,1676.727101,999.999969,108987.2783,34.99998887,4.6277E-08,0.008211911
162,1575.107264,999.9999624,121283.2729,34.9999872,4.6277E-08,0.007343619
163,1270.247859,999.9999102,83836.38007,34.99997204,4.6277E-08,0.006489823
164,0.000174368,999.9998024,0.044278528,34.99993522,4.6277E-08,0.00717793
165,0.000137729,999.9997399,0.020476061,34.99992731,4.6277E-08,0.007896682
166,0.000113594,999.999715,0.014320527,34.99992784,4.6277E-08,0.008678888
167,8.74E-05,999.9997388,0.011062641,34.99993794,4.6277E-08,0.009591745
168,7.20E-05,999.9998381,0.008768698,34.99996381,4.6277E-08,0.010863277
